Title,Album,Era,Lead vocal,Tempo bucket,Key root,Mood,Highest chart position,Words in Title
All You Need Is Love,Magical Mystery Tour,Studio (1966-1967),John,Mid,G,Neutral,1,5
Strawberry Fields Forever,Magical Mystery Tour,Studio (1966-1967),John,Slow,Bb,Sad,8,3
"Baby, You're a Rich Man",Magical Mystery Tour,Studio (1966-1967),"John, Paul",Slow,C,Neutral,34,5
I Am the Walrus,Magical Mystery Tour,Studio (1966-1967),John,Slow,A,Neutral,56,4
Flying,Magical Mystery Tour,Studio (1966-1967),N/A,Slow,C,Sad,100+,1
Magical Mystery Tour,Magical Mystery Tour,Studio (1966-1967),Paul,Fast,D,Neutral,100+,3
Blue Jay Way,Magical Mystery Tour,Studio (1966-1967),George,Mid,C,Sad,100+,3
Your Mother Should Know,Magical Mystery Tour,Studio (1966-1967),Paul,Mid,C,Happy,100+,4
The Fool on the Hill,Magical Mystery Tour,Studio (1966-1967),Paul,Slow,D,Neutral,100+,5
I Feel Fine,Single,Beatlemania (1963-1965),John,Slow,G,Happy,1,3
She Loves You,Single,Beatlemania (1963-1965),"John, Paul",Fast,G,Happy,1,3
I Want to Hold Your Hand,Single,Beatlemania (1963-1965),"John, Paul",Fast,G,Happy,1,6
She's a Woman,Single,Beatlemania (1963-1965),Paul,Slow,A,Happy,4,3
Matchbox,Single,Beatlemania (1963-1965),Ringo,Fast,A,Neutral,17,1
Slow Down,Single,Beatlemania (1963-1965),John,Fast,C,Happy,25,2
Thank You Girl,Single,Beatlemania (1963-1965),"John, Paul",Fast,D,Happy,35,3
From Me to You,Single,Beatlemania (1963-1965),"John, Paul",Fast,C,Happy,41,4
Yes It Is,Single,Beatlemania (1963-1965),John,Fast,E,Sad,46,3
Sie Liebt Dich,Single,Beatlemania (1963-1965),"John, Paul",Fast,G,Happy,97,3
Bad Boy,Single,Beatlemania (1963-1965),John,Fast,C,Neutral,100+,2
I'm Down,Single,Beatlemania (1963-1965),Paul,Fast,G,Neutral,100+,2
This Boy,Single,Beatlemania (1963-1965),"John, Paul, George",Mid,D,Sad,100+,2
I'll Get You,Single,Beatlemania (1963-1965),"John, Paul",Mid,D,Happy,100+,3
Long Tall Sally,Single,Beatlemania (1963-1965),Paul,Fast,G,Happy,100+,3
I Call Your Name,Single,Beatlemania (1963-1965),John,Mid,E,Neutral,100+,4
Komm Gib Mir Deine Hand,Single,Beatlemania (1963-1965),"John, Paul",Fast,G,Happy,100+,5
Hey Jude,Single,Late Beatles (1968-1970),Paul,Slow,F,Neutral,1,2
Paperback Writer,Single,Studio (1966-1967),Paul,Fast,G,Neutral,1,2
We Can Work It Out,Single,Beatlemania (1963-1965),"John, Paul",Mid,D,Neutral,1,5
Lady Madonna,Single,Late Beatles (1968-1970),Paul,Mid,A,Neutral,4,2
Day Tripper,Single,Beatlemania (1963-1965),Paul,Fast,E,Happy,5,2
The Ballad of John and Yoko,Single,Late Beatles (1968-1970),John,Fast,E,Happy,8,6
Revolution,Single,Late Beatles (1968-1970),John,Mid,B,Neutral,12,1
Rain,Single,Studio (1966-1967),John,Mid,G,Neutral,23,1
Don't Let Me Down,Single,Late Beatles (1968-1970),John,Slow,E,Neutral,35,4
The Inner Light,Single,Late Beatles (1968-1970),George,Mid,Eb,Neutral,96,3
Old Brown Shoe,Single,Late Beatles (1968-1970),George,Fast,C,Neutral,100+,3
You Know My Name (Look Up the Number),Single,Studio (1966-1967),"John, Paul",Mid,D,Neutral,100+,8
Love Me Do,Please Please Me,Early (<=1962),"John, Paul",Fast,G,Happy,1,3
Twist and Shout,Please Please Me,Beatlemania (1963-1965),John,Mid,D,Happy,2,3
Do You Want to Know a Secret?,Please Please Me,Beatlemania (1963-1965),George,Mid,E,Neutral,2,7
Please Please Me,Please Please Me,Early (<=1962),John,Fast,E,Happy,3,3
P.S. I Love You,Please Please Me,Early (<=1962),Paul,Fast,D,Happy,10,4
I Saw Her Standing There,Please Please Me,Beatlemania (1963-1965),Paul,Fast,E,Happy,14,5
There's a Place,Please Please Me,Beatlemania (1963-1965),"John, Paul",Fast,E,Happy,74,3
Boys,Please Please Me,Beatlemania (1963-1965),Ringo,Fast,E,Happy,100+,1
Chains,Please Please Me,Beatlemania (1963-1965),George,Mid,Bb,Happy,100+,1
Misery,Please Please Me,Beatlemania (1963-1965),"John, Paul",Fast,C,Happy,100+,1
Baby It's You,Please Please Me,Beatlemania (1963-1965),John,Mid,G,Happy,67,3
Ask Me Why,Please Please Me,Early (<=1962),John,Mid,E,Neutral,100+,3
Anna (Go to Him),Please Please Me,Beatlemania (1963-1965),John,Mid,D,Happy,100+,4
A Taste of Honey,Please Please Me,Beatlemania (1963-1965),Paul,Mid,F#,Neutral,100+,4
Yellow Submarine,Revolver,Studio (1966-1967),Ringo,Mid,G,Happy,2,2
Eleanor Rigby,Revolver,Studio (1966-1967),Paul,Fast,E,Happy,11,2
Taxman,Revolver,Studio (1966-1967),George,Fast,D,Happy,100+,1
Doctor Robert,Revolver,Studio (1966-1967),John,Fast,A,Neutral,100+,2
For No One,Revolver,Studio (1966-1967),Paul,Slow,B,Happy,100+,3
I'm Only Sleeping,Revolver,Studio (1966-1967),John,Mid,Eb,Happy,100+,3
Love You To,Revolver,Studio (1966-1967),George,Mid,C,Happy,100+,3
Good Day Sunshine,Revolver,Studio (1966-1967),Paul,Mid,A,Neutral,100+,3
Tomorrow Never Knows,Revolver,Studio (1966-1967),John,Mid,C,Sad,100+,3
She Said She Said,Revolver,Studio (1966-1967),John,Mid,Bb,Happy,100+,4
"Here, There and Everywhere",Revolver,Studio (1966-1967),Paul,Fast,G,Neutral,100+,4
And Your Bird Can Sing,Revolver,Studio (1966-1967),John,Fast,E,Happy,100+,5
I Want to Tell You,Revolver,Studio (1966-1967),George,Mid,A,Neutral,100+,5
Got to Get You into My Life,Revolver,Studio (1966-1967),Paul,Fast,G,Happy,7,7
Nowhere Man,Rubber Soul,Beatlemania (1963-1965),John,Mid,E,Happy,3,2
What Goes On,Rubber Soul,Beatlemania (1963-1965),Ringo,Slow,E,Happy,81,3
Girl,Rubber Soul,Beatlemania (1963-1965),John,Slow,C,Happy,100+,1
Michelle,Rubber Soul,Beatlemania (1963-1965),Paul,Mid,F,Happy,100+,1
Wait,Rubber Soul,Beatlemania (1963-1965),"John, Paul",Mid,F#,Neutral,100+,1
The Word,Rubber Soul,Beatlemania (1963-1965),"John, Paul, George",Mid,D,Happy,100+,2
Drive My Car,Rubber Soul,Beatlemania (1963-1965),"John, Paul",Mid,D,Happy,100+,3
Think for Yourself,Rubber Soul,Beatlemania (1963-1965),George,Fast,G,Happy,100+,3
In My Life,Rubber Soul,Beatlemania (1963-1965),John,Mid,A,Neutral,100+,3
I'm Looking Through You,Rubber Soul,Beatlemania (1963-1965),Paul,Slow,Ab,Happy,100+,4
If I Needed Someone,Rubber Soul,Beatlemania (1963-1965),George,Mid,A,Happy,100+,4
Run for Your Life,Rubber Soul,Beatlemania (1963-1965),John,Fast,D,Happy,100+,4
You Won't See Me,Rubber Soul,Beatlemania (1963-1965),Paul,Mid,A,Neutral,100+,4
Norwegian Wood (This Bird Has Flown),Rubber Soul,Beatlemania (1963-1965),John,Fast,E,Neutral,100+,6
Getting Better,Sgt Pepper's Lonely Hearts Club Band,Studio (1966-1967),Paul,Mid,C,Happy,100+,2
Lovely Rita,Sgt Pepper's Lonely Hearts Club Band,Studio (1966-1967),Paul,Slow,E,Neutral,100+,2
When I'm Sixty-Four,Sgt Pepper's Lonely Hearts Club Band,Studio (1966-1967),Paul,Fast,C#,Happy,100+,3
Fixing a Hole,Sgt Pepper's Lonely Hearts Club Band,Studio (1966-1967),Paul,Mid,F,Neutral,100+,3
She's Leaving Home,Sgt Pepper's Lonely Hearts Club Band,Studio (1966-1967),Paul,Mid,E,Neutral,100+,3
"Good Morning, Good Morning",Sgt Pepper's Lonely Hearts Club Band,Studio (1966-1967),John,Mid,A,Happy,100+,4
Within You Without You,Sgt Pepper's Lonely Hearts Club Band,Studio (1966-1967),George,Mid,C#,Neutral,100+,4
A Day in the Life,Sgt Pepper's Lonely Hearts Club Band,Studio (1966-1967),"John, Paul",Slow,G,Sad,100+,5
Lucy in the Sky with Diamonds,Sgt Pepper's Lonely Hearts Club Band,Studio (1966-1967),John,Fast,G,Happy,100+,6
Sgt. Pepper's Lonely Hearts Club Band,Sgt Pepper's Lonely Hearts Club Band,Studio (1966-1967),Paul,Slow,G,Happy,71,6
Being for the Benefit of Mr. Kite!,Sgt Pepper's Lonely Hearts Club Band,Studio (1966-1967),John,Mid,E,Happy,100+,7
Sgt. Pepper's Lonely Hearts Club Band (Reprise),Sgt Pepper's Lonely Hearts Club Band,Studio (1966-1967),"John, Paul, George",Mid,F,Happy,71,7
With a Little Help from My Friends,Sgt Pepper's Lonely Hearts Club Band,Studio (1966-1967),Ringo,Mid,E,Happy,71,7
Birthday,White Album,Late Beatles (1968-1970),"John, Paul",Fast,A,Happy,100+,1
Blackbird,White Album,Late Beatles (1968-1970),Paul,Slow,G,Neutral,100+,1
Piggies,White Album,Late Beatles (1968-1970),George,Slow,A,Neutral,100+,1
Julia,White Album,Late Beatles (1968-1970),John,Fast,D,Sad,100+,1
Glass Onion,White Album,Late Beatles (1968-1970),John,Mid,A,Happy,100+,2
I Will,White Album,Late Beatles (1968-1970),Paul,Mid,F,Happy,100+,2
"Ob-La-Di, Ob-La-Da",White Album,Late Beatles (1968-1970),Paul,Mid,Bb,Happy,48,2
Revolution 1,White Album,Late Beatles (1968-1970),John,Slow,A,Happy,100+,2
Savoy Truffle,White Album,Late Beatles (1968-1970),George,Mid,G,Happy,100+,2
Sexy Sadie,White Album,Late Beatles (1968-1970),John,Slow,G,Happy,100+,2
Dear Prudence,White Album,Late Beatles (1968-1970),John,Slow,D,Neutral,100+,2
Honey Pie,White Album,Late Beatles (1968-1970),Paul,Fast,G,Neutral,100+,2
Rocky Raccoon,White Album,Late Beatles (1968-1970),Paul,Slow,C,Neutral,100+,2
Yer Blues,White Album,Late Beatles (1968-1970),John,Fast,E,Neutral,100+,2
Good Night,White Album,Late Beatles (1968-1970),Ringo,Fast,G,Sad,100+,2
Helter Skelter,White Album,Late Beatles (1968-1970),Paul,Fast,E,Sad,100+,2
Revolution 9,White Album,Late Beatles (1968-1970),N/A,Slow,A,Sad,100+,2
I'm So Tired,White Album,Late Beatles (1968-1970),John,Slow,A,Happy,100+,3
Martha My Dear,White Album,Late Beatles (1968-1970),Paul,Fast,Eb,Happy,100+,3
Cry Baby Cry,White Album,Late Beatles (1968-1970),"John, Paul",Slow,G,Neutral,100+,3
Mother Nature's Son,White Album,Late Beatles (1968-1970),Paul,Slow,D,Neutral,100+,3
"Long, Long, Long",White Album,Late Beatles (1968-1970),George,Mid,F,Sad,100+,3
Wild Honey Pie,White Album,Late Beatles (1968-1970),Paul,Slow,G,Sad,100+,3
Don't Pass Me By,White Album,Late Beatles (1968-1970),Ringo,Slow,C,Happy,100+,4
Back in the U.S.S.R.,White Album,Late Beatles (1968-1970),Paul,Fast,A,Neutral,100+,4
While My Guitar Gently Weeps,White Album,Late Beatles (1968-1970),George,Mid,A,Happy,100+,5
Happiness Is a Warm Gun,White Album,Late Beatles (1968-1970),John,Fast,C,Neutral,100+,5
The Continuing Story of Bungalow Bill,White Album,Late Beatles (1968-1970),John,Mid,C,Neutral,100+,6
Why Don't We Do It in the Road?,White Album,Late Beatles (1968-1970),Paul,Slow,D,Happy,100+,8
Everybody's Got Something to Hide Except Me and My Monkey,White Album,Late Beatles (1968-1970),John,Mid,E,Happy,100+,10
All My Loving,With The Beatles,Beatlemania (1963-1965),Paul,Fast,E,Happy,45,3
Roll Over Beethoven,With The Beatles,Beatlemania (1963-1965),George,Fast,D,Happy,68,3
Little Child,With The Beatles,Beatlemania (1963-1965),"John, Paul",Fast,E,Happy,100+,2
Don't Bother Me,With The Beatles,Beatlemania (1963-1965),George,Fast,E,Happy,100+,3
Hold Me Tight,With The Beatles,Beatlemania (1963-1965),Paul,Fast,F,Happy,100+,3
Please Mr. Postman,With The Beatles,Beatlemania (1963-1965),John,Mid,A,Happy,100+,3
Devil in Her Heart,With The Beatles,Beatlemania (1963-1965),George,Mid,G,Happy,100+,4
It Won't Be Long,With The Beatles,Beatlemania (1963-1965),John,Fast,E,Happy,100+,4
Not a Second Time,With The Beatles,Beatlemania (1963-1965),John,Mid,G,Happy,100+,4
Till There Was You,With The Beatles,Beatlemania (1963-1965),Paul,Mid,F,Neutral,100+,4
All I've Got to Do,With The Beatles,Beatlemania (1963-1965),John,Mid,E,Happy,100+,5
I Wanna Be Your Man,With The Beatles,Beatlemania (1963-1965),"John, Paul, Ringo",Mid,E,Happy,100+,5
Money (That's What I Want),With The Beatles,Beatlemania (1963-1965),John,Mid,E,Happy,100+,5
You've Really Got a Hold on Me,With The Beatles,Beatlemania (1963-1965),John,Slow,A,Happy,100+,7
Pepperland,Yellow Submarine,Studio (1966-1967),N/A,Mid,G,Neutral,100+,1
Hey Bulldog,Yellow Submarine,Late Beatles (1968-1970),John,Mid,C,Happy,100+,2
All Together Now,Yellow Submarine,Studio (1966-1967),"John, Paul",Slow,G,Happy,100+,3
Pepperland Laid Waste,Yellow Submarine,Studio (1966-1967),N/A,Slow,F,Sad,100+,3
Sea of Holes,Yellow Submarine,Studio (1966-1967),N/A,Mid,E,Sad,100+,3
Sea of Monsters,Yellow Submarine,Studio (1966-1967),N/A,Mid,D,Sad,100+,3
Sea of Time,Yellow Submarine,Studio (1966-1967),N/A,Mid,C,Sad,100+,3
Only a Northern Song,Yellow Submarine,Studio (1966-1967),George,Mid,A,Happy,100+,4
It's All Too Much,Yellow Submarine,Studio (1966-1967),George,Mid,G,Sad,100+,4
March of the Meanies,Yellow Submarine,Studio (1966-1967),N/A,Mid,E,Sad,100+,4
Yellow Submarine in Pepperland,Yellow Submarine,Studio (1966-1967),N/A,Mid,G,Sad,100+,4
