wikidata_id,common_name,scientific_name,wikipedia_title,source_url,mass_kg,lifespan_yr,gestation_days,litter_size,max_speed_mph,conservation_status,pageviews_30d,image_url,image_file_page,image_license,image_attribution
Q664472,Lepus flavigularis,Lepus flavigularis,Tehuantepec jackrabbit,https://en.wikipedia.org/wiki/Tehuantepec_jackrabbit,,,,,,Endangered,649,https://upload.wikimedia.org/wikipedia/commons/7/77/Lepus_flavigularis_2.jpg,https://commons.wikimedia.org/wiki/File%3ALepus_flavigularis_2.jpg,CC BY 4.0,tereso30 / CC BY 4.0
Q1769793,Ruwenzori Shrew,Ruwenzorisorex suncoides,Ruwenzori shrew,https://en.wikipedia.org/wiki/Ruwenzori_shrew,,,,,,Vulnerable,52,https://upload.wikimedia.org/wikipedia/commons/4/45/Myosorex_varius.png,https://commons.wikimedia.org/wiki/File%3AMyosorex_varius.png,CC BY 2.0,A. Robers / CC BY 2.0
Q508013,whiskered bat,Myotis mystacinus,Whiskered bat,https://en.wikipedia.org/wiki/Whiskered_bat,,,,,,Least Concern,411,https://upload.wikimedia.org/wikipedia/commons/6/6f/Whiskered_bat_%28Myotis_mystacinus%29_Rochovce.jpg,https://commons.wikimedia.org/wiki/File%3AWhiskered_bat_%28Myotis_mystacinus%29_Rochovce.jpg,CC BY-SA 4.0,"<bdi><a href=""https://www.wikidata.org/wiki/Q54800218"" class=""extiw"" title=""d:Q54800218""><span title=""Scottish wildlife photographer"">Charles J. Sharp</span></a></bdi> / CC BY-SA 4.0"
Q1017365,Lepus saxatilis,Lepus saxatilis,Cape scrub hare,https://en.wikipedia.org/wiki/Cape_scrub_hare,,,,,,Least Concern,385,https://upload.wikimedia.org/wikipedia/commons/3/3f/Scrub_Hare_%28Lepus_saxatilis%29_close-up_%2830544290256%29_%282%29.jpg,https://commons.wikimedia.org/wiki/File%3AScrub_Hare_%28Lepus_saxatilis%29_close-up_%2830544290256%29_%282%29.jpg,CC BY-SA 2.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/65695019@N07"">Bernard DUPONT</a> from FRANCE / CC BY-SA 2.0"
Q214633,Dzungarian hamster,Phodopus sungorus,Winter white dwarf hamster,https://en.wikipedia.org/wiki/Winter_white_dwarf_hamster,0.0024,,21.5,,,Least Concern,6438,https://upload.wikimedia.org/wikipedia/commons/7/7a/PhodopusSungorus_1.jpg,https://commons.wikimedia.org/wiki/File%3APhodopusSungorus_1.jpg,CC BY 2.5,Philipp Salzgeber / CC BY 2.5
Q944704,Ateles marginatus,Ateles marginatus,White-cheeked spider monkey,https://en.wikipedia.org/wiki/White-cheeked_spider_monkey,,,,,,Endangered,348,https://upload.wikimedia.org/wikipedia/commons/d/dc/Ateles_marginatus3.jpg,https://commons.wikimedia.org/wiki/File%3AAteles_marginatus3.jpg,CC BY 3.0,"<a href=""//commons.wikimedia.org/wiki/User:Minister2009"" title=""User:Minister2009"">Minister2009</a> / CC BY 3.0"
Q1768795,Hipposideros hypophyllus,Hipposideros hypophyllus,Kolar leaf-nosed bat,https://en.wikipedia.org/wiki/Kolar_leaf-nosed_bat,,,,,,Critically Endangered,138,https://upload.wikimedia.org/wikipedia/commons/e/ed/Kolar_leaf-nosed_bat.jpg,https://commons.wikimedia.org/wiki/File%3AKolar_leaf-nosed_bat.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Rajesh.bp13&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Rajesh.bp13 (page does not exist)"">Rajesh Puttaswamaiah</a> / CC BY-SA 4.0"
Q728636,Himalayan tahr,Hemitragus jemlahicus,Himalayan tahr,https://en.wikipedia.org/wiki/Himalayan_tahr,,,182.625,,,Near Threatened,4991,https://upload.wikimedia.org/wikipedia/commons/3/34/Himalayan_Tahr_at_Sagarmatha_National_Park%2C_Nepal_01.jpg,https://commons.wikimedia.org/wiki/File%3AHimalayan_Tahr_at_Sagarmatha_National_Park%2C_Nepal_01.jpg,CC BY-SA 4.0,"<ul><li><b>Original: </b> <a href=""//commons.wikimedia.org/w/index.php?title=User:Gurung_pratap&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Gurung pratap (page does not exist)"">Pratap Gurung</a></li>
<li><small style=""font-size:85%;""><b>Derivative work: </b> <a href=""//commons.wikimedia.org/wiki/User:UnpetitproleX"" title=""User:UnpetitproleX"">UnpetitproleX</a></small></li></ul> / CC BY-SA 4.0"
Q2223955,Pygmy brocket,Mazama nana,Pygmy brocket,https://en.wikipedia.org/wiki/Pygmy_brocket,,,,,,Vulnerable,317,https://upload.wikimedia.org/wikipedia/commons/c/ca/Mazama_nana.jpg,https://commons.wikimedia.org/wiki/File%3AMazama_nana.jpg,CC BY 2.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/photos/niallcorbet/"">Niall Corbet</a> / CC BY 2.0"
Q1829319,Sowell's short-tailed bat,Carollia sowelli,Sowell's short-tailed bat,https://en.wikipedia.org/wiki/Sowell's_short-tailed_bat,,,,,,Least Concern,67,https://upload.wikimedia.org/wikipedia/commons/a/a3/Sowell%E2%80%99s_Short-tailed_Bat%2C_Belize_District%2C_Belize_imported_from_iNaturalist_photo_119271351.jpg,https://commons.wikimedia.org/wiki/File%3ASowell%E2%80%99s_Short-tailed_Bat%2C_Belize_District%2C_Belize_imported_from_iNaturalist_photo_119271351.jpg,CC BY 4.0,"(c) Amelia Tauber, some rights reserved (CC BY) / CC BY 4.0"
Q153752,Little desert pocket mouse,Chaetodipus arenarius,Little desert pocket mouse,https://en.wikipedia.org/wiki/Little_desert_pocket_mouse,,,,,,Least Concern,218,https://upload.wikimedia.org/wikipedia/commons/3/33/Little_Desert_Pocket_Mouse_imported_from_iNaturalist_photo_187495659_on_18_April_2022.jpg,https://commons.wikimedia.org/wiki/File%3ALittle_Desert_Pocket_Mouse_imported_from_iNaturalist_photo_187495659_on_18_April_2022.jpg,CC BY-SA 4.0,"(c) Juan Cruzado Cortés, some rights reserved (CC BY-SA) / CC BY-SA 4.0"
Q183339,Antilope cervicapra,Antilope cervicapra,Blackbuck,https://en.wikipedia.org/wiki/Blackbuck,,,167.40625,,,Least Concern,16330,https://upload.wikimedia.org/wikipedia/commons/5/5e/Blackbuck_male_female.jpg,https://commons.wikimedia.org/wiki/File%3ABlackbuck_male_female.jpg,CC BY-SA 2.5,Mr Raja Purohit / CC BY-SA 2.5
Q3927217,Myotis dinellii,Myotis dinellii,Dinelli's myotis,https://en.wikipedia.org/wiki/Dinelli's_myotis,,,,,,Least Concern,21,https://upload.wikimedia.org/wikipedia/commons/a/ac/Dinelli%27s_Myotis_imported_from_iNaturalist_photo_156512394_on_1_February_2022.jpg,https://commons.wikimedia.org/wiki/File%3ADinelli%27s_Myotis_imported_from_iNaturalist_photo_156512394_on_1_February_2022.jpg,CC0,no rights reserved / CC0
Q1508885,brush rabbit,Sylvilagus bachmani,Brush rabbit,https://en.wikipedia.org/wiki/Brush_rabbit,,,29.0,,,Least Concern,1104,https://upload.wikimedia.org/wikipedia/commons/5/50/Sylvilagus_bachmani_01035t.JPG,https://commons.wikimedia.org/wiki/File%3ASylvilagus_bachmani_01035t.JPG,CC BY 2.5,CC BY 2.5
Q1763665,Lesser gray-brown musk shrew,Crocidura silacea,Lesser gray-brown musk shrew,https://en.wikipedia.org/wiki/Lesser_gray-brown_musk_shrew,,,,,,Least Concern,51,https://upload.wikimedia.org/wikipedia/commons/4/45/Myosorex_varius.png,https://commons.wikimedia.org/wiki/File%3AMyosorex_varius.png,CC BY 2.0,A. Robers / CC BY 2.0
Q649127,South American Fur Seal,Arctocephalus australis,South American fur seal,https://en.wikipedia.org/wiki/South_American_fur_seal,,,365.25,,,Least Concern,1502,https://upload.wikimedia.org/wikipedia/commons/7/71/Seeb%C3%A4r_s%C3%BCdamerikanisch_Zoo_Landau.JPG,https://commons.wikimedia.org/wiki/File%3ASeeb%C3%A4r_s%C3%BCdamerikanisch_Zoo_Landau.JPG,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/wiki/User:4028mdk09"" title=""User:4028mdk09"">4028mdk09</a> / CC BY-SA 3.0"
Q1765965,Yucatan small-eared shrew,Cryptotis mayensis,Yucatan small-eared shrew,https://en.wikipedia.org/wiki/Yucatan_small-eared_shrew,,,,,,Least Concern,27,https://upload.wikimedia.org/wikipedia/commons/f/fe/BairdShrew23.jpg,https://commons.wikimedia.org/wiki/File%3ABairdShrew23.jpg,Public domain,Public domain
Q578342,Crocidura musseri,Crocidura musseri,Mossy forest shrew,https://en.wikipedia.org/wiki/Mossy_forest_shrew,,,,,,Vulnerable,44,https://upload.wikimedia.org/wikipedia/commons/4/45/Myosorex_varius.png,https://commons.wikimedia.org/wiki/File%3AMyosorex_varius.png,CC BY 2.0,A. Robers / CC BY 2.0
Q306995,Cursor grass mouse,Akodon cursor,Cursor grass mouse,https://en.wikipedia.org/wiki/Cursor_grass_mouse,,,,,,Least Concern,29,https://upload.wikimedia.org/wikipedia/commons/e/e7/Akodon_cursor.jpg,https://commons.wikimedia.org/wiki/File%3AAkodon_cursor.jpg,CC BY 4.0,"Unknown author<span style=""display: none;"">Unknown author</span> / CC BY 4.0"
Q153587,Narrow-skulled pocket mouse,Chaetodipus artus,Narrow-skulled pocket mouse,https://en.wikipedia.org/wiki/Narrow-skulled_pocket_mouse,,,,,,Least Concern,45,https://upload.wikimedia.org/wikipedia/commons/6/68/Narrow-skulled_Pocket_Mouse_imported_from_iNaturalist_photo_155559381_on_12_April_2024.jpg,https://commons.wikimedia.org/wiki/File%3ANarrow-skulled_Pocket_Mouse_imported_from_iNaturalist_photo_155559381_on_12_April_2024.jpg,CC BY-SA 4.0,"(c) Juan Cruzado Cortés, some rights reserved (CC BY-SA) / CC BY-SA 4.0"
Q1074195,Chinese goral,Naemorhedus griseus,Chinese goral,https://en.wikipedia.org/wiki/Chinese_goral,,,,,,Vulnerable,819,https://upload.wikimedia.org/wikipedia/commons/8/8f/Nemorhaeduscaudatusarnouxianus2.JPG,https://commons.wikimedia.org/wiki/File%3ANemorhaeduscaudatusarnouxianus2.JPG,Public domain,"<a href=""//commons.wikimedia.org/w/index.php?title=User:ML5&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:ML5 (page does not exist)"">ML5</a> / Public domain"
Q1768580,Pteropus macrotis,Pteropus macrotis,Big-eared flying fox,https://en.wikipedia.org/wiki/Big-eared_flying_fox,,,,,,Least Concern,79,https://upload.wikimedia.org/wikipedia/commons/7/77/Pteropus_macrotis.jpg,https://commons.wikimedia.org/wiki/File%3APteropus_macrotis.jpg,CC0,Naturalis Biodiversity Center / CC0
Q207043,Gemsbok,Oryx gazella,Gemsbok,https://en.wikipedia.org/wiki/Gemsbok,,,281.546875,,,Least Concern,12514,https://upload.wikimedia.org/wikipedia/commons/f/f3/Gemsbok_%28Oryx_gazella%29_male.jpg,https://commons.wikimedia.org/wiki/File%3AGemsbok_%28Oryx_gazella%29_male.jpg,CC BY-SA 4.0,"<bdi><a href=""https://www.wikidata.org/wiki/Q54800218"" class=""extiw"" title=""d:Q54800218""><span title=""Scottish wildlife photographer"">Charles J. Sharp</span></a></bdi> / CC BY-SA 4.0"
Q930150,Petrodromus tetradactylus,Petrodromus tetradactylus,Four-toed elephant shrew,https://en.wikipedia.org/wiki/Four-toed_elephant_shrew,,,,,,Least Concern,222,https://upload.wikimedia.org/wikipedia/commons/7/73/Petrodromus_tetradactylus-Zootaxa.jpg,https://commons.wikimedia.org/wiki/File%3APetrodromus_tetradactylus-Zootaxa.jpg,CC BY 3.0,Galen B. Rathbun / CC BY 3.0
Q18498,Canis lupus,Canis lupus,Wolf,https://en.wikipedia.org/wiki/Wolf,,,62.0,6.0,,Least Concern,96796,https://upload.wikimedia.org/wikipedia/commons/6/68/Eurasian_wolf_2.jpg,https://commons.wikimedia.org/wiki/File%3AEurasian_wolf_2.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Mas3cf&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Mas3cf (page does not exist)"">User:Mas3cf</a> / CC BY-SA 4.0"
Q2415860,Hispaniolan greater funnel-eared bat,Natalus major,Hispaniolan greater funnel-eared bat,https://en.wikipedia.org/wiki/Hispaniolan_greater_funnel-eared_bat,,,,,,Near Threatened,65,https://upload.wikimedia.org/wikipedia/commons/2/2d/Haiti-Dominican_Republic.png,https://commons.wikimedia.org/wiki/File%3AHaiti-Dominican_Republic.png,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/wiki/User:Surfer43"" class=""mw-redirect"" title=""User:Surfer43"">Surfer43</a> / CC BY-SA 3.0"
Q1770782,Lesser short-nosed fruit bat,Cynopterus brachyotis,Lesser short-nosed fruit bat,https://en.wikipedia.org/wiki/Lesser_short-nosed_fruit_bat,,,,,,Least Concern,625,https://upload.wikimedia.org/wikipedia/commons/5/50/Lesser_short-nosed_fruit_bat_%28Cynopterus_brachyotis%29.jpg,https://commons.wikimedia.org/wiki/File%3ALesser_short-nosed_fruit_bat_%28Cynopterus_brachyotis%29.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Anton_17"" class=""mw-redirect"" title=""User:Anton 17"">Anton 17</a> / CC BY-SA 4.0"
Q20224949,Cebus yuracus,Cebus yuracus,Marañón white-fronted capuchin,https://en.wikipedia.org/wiki/Mara%C3%B1%C3%B3n_white-fronted_capuchin,,,,,,Near Threatened,193,https://upload.wikimedia.org/wikipedia/commons/d/dd/Mara%C3%B1on_White-fronted_Capuchin_Cebus_yuracus_A.jpg,https://commons.wikimedia.org/wiki/File%3AMara%C3%B1on_White-fronted_Capuchin_Cebus_yuracus_A.jpg,CC BY-SA 3.0,"<a href=""https://en.wikipedia.org/wiki/de:User:Haplochromis"" class=""extiw"" title=""w:de:User:Haplochromis"">Haplochromis</a> at <a href=""https://en.wikipedia.org/wiki/de:"" class=""extiw"" title=""w:de:"">German Wikipedia</a> / CC BY-SA 3.0"
Q25693635,Hipposideros pendleburyi,Hipposideros pendleburyi,Hipposideros pendleburyi,https://en.wikipedia.org/wiki/Hipposideros_pendleburyi,,,,,,Vulnerable,58,https://upload.wikimedia.org/wikipedia/commons/3/3c/Hipposideros_pendleburyi.png,https://commons.wikimedia.org/wiki/File%3AHipposideros_pendleburyi.png,CC BY 4.0,"Sébastien J. Puechmaille1,*, Pipat Soisook2, Medhi Yokubol2, Piyathip Piyapan2,Meriadeg Ar Gouilh3, 4, Khin Mie Mie5, Khin Khin Kyaw5, Iain Mackie6,Sara Bumrungsri2, Ariya Dejtaradol2, Tin Nwe5, Si Si Hla Bu7, Chutamas Satasook2,Paul J. Bates8, Emma C. Teeling1, / CC BY 4.0"
Q257082,Sumatran porcupine,Hystrix sumatrae,Sumatran porcupine,https://en.wikipedia.org/wiki/Sumatran_porcupine,,,,,,Least Concern,201,https://upload.wikimedia.org/wikipedia/commons/8/82/Hystrix_sumatrae%2C_the_Sumatran_Porcupine_%2812616233295%29.jpg,https://commons.wikimedia.org/wiki/File%3AHystrix_sumatrae%2C_the_Sumatran_Porcupine_%2812616233295%29.jpg,CC BY 2.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/92252798@N07"">Dick Culbert</a> from Gibsons, B.C., Canada / CC BY 2.0"
Q2052993,Philippine long-fingered bat,Miniopterus paululus,Philippine long-fingered bat,https://en.wikipedia.org/wiki/Philippine_long-fingered_bat,,,,,,Least Concern,29,https://upload.wikimedia.org/wikipedia/commons/1/1c/Bat_%28PSF%29.jpg,https://commons.wikimedia.org/wiki/File%3ABat_%28PSF%29.jpg,Public domain,"<a href=""https://en.wikipedia.org/wiki/Pearson_Scott_Foresman"" class=""extiw"" title=""en:Pearson Scott Foresman"">Pearson Scott Foresman</a> / Public domain"
Q936662,Macleay's Mustached Bat,Pteronotus macleayii,Macleay's mustached bat,https://en.wikipedia.org/wiki/Macleay's_mustached_bat,,,,,,Least Concern,46,https://upload.wikimedia.org/wikipedia/commons/0/06/Pteronotus_macleayii_Annals_of_natural_history_%281840%29_%2818226066730%29.jpg,https://commons.wikimedia.org/wiki/File%3APteronotus_macleayii_Annals_of_natural_history_%281840%29_%2818226066730%29.jpg,No restrictions,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/126377022@N07"">Internet Archive Book Images</a> / No restrictions"
Q180960,onager,Equus hemionus,Onager,https://en.wikipedia.org/wiki/Onager,,,365.25,,,Near Threatened,13466,https://upload.wikimedia.org/wikipedia/commons/6/6e/Rostov-on-Don_Zoo_Persian_onager_IMG_5268_1725.jpg,https://commons.wikimedia.org/wiki/File%3ARostov-on-Don_Zoo_Persian_onager_IMG_5268_1725.jpg,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/wiki/User:Alexxx1979"" title=""User:Alexxx1979"">Alexxx1979</a> / CC BY-SA 3.0"
Q1768230,Hildegarde's Shrew,Crocidura hildegardeae,Hildegarde's shrew,https://en.wikipedia.org/wiki/Hildegarde's_shrew,,,,,,Least Concern,76,https://upload.wikimedia.org/wikipedia/commons/5/5d/Crocidura_hildegardeae.jpg,https://commons.wikimedia.org/wiki/File%3ACrocidura_hildegardeae.jpg,CC BY 4.0,John Lyakurwa / CC BY 4.0
Q42627,leopard cat,Prionailurus bengalensis,Leopard cat,https://en.wikipedia.org/wiki/Leopard_cat,,,67.0,,,Least Concern,17942,https://upload.wikimedia.org/wikipedia/commons/5/56/Prionailurus_bengalensis_bengalensis_2-D%C3%A9coupe.JPG,https://commons.wikimedia.org/wiki/File%3APrionailurus_bengalensis_bengalensis_2-D%C3%A9coupe.JPG,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/wiki/User:Abujoy"" title=""User:Abujoy"">Abujoy</a> / CC BY-SA 3.0"
Q1576038,Japanese badger,Meles anakuma,Japanese badger,https://en.wikipedia.org/wiki/Japanese_badger,,,,,,Least Concern,2578,https://upload.wikimedia.org/wikipedia/commons/6/65/Meles_meles_anakuma_at_Inokashira_Park_Zoo.jpg,https://commons.wikimedia.org/wiki/File%3AMeles_meles_anakuma_at_Inokashira_Park_Zoo.jpg,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Nzrst1jx&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Nzrst1jx (page does not exist)"">Nzrst1jx</a> / CC BY-SA 3.0"
Q305644,Bailey's shrew,Crocidura baileyi,Bailey's shrew,https://en.wikipedia.org/wiki/Bailey's_shrew,,,,,,Least Concern,60,https://upload.wikimedia.org/wikipedia/commons/4/45/Myosorex_varius.png,https://commons.wikimedia.org/wiki/File%3AMyosorex_varius.png,CC BY 2.0,A. Robers / CC BY 2.0
Q307094,Tanzanian Shrew,Crocidura tansaniana,Tanzanian shrew,https://en.wikipedia.org/wiki/Tanzanian_shrew,,,,,,Near Threatened,38,https://upload.wikimedia.org/wikipedia/commons/4/45/Myosorex_varius.png,https://commons.wikimedia.org/wiki/File%3AMyosorex_varius.png,CC BY 2.0,A. Robers / CC BY 2.0
Q1074206,Chinese hare,Lepus sinensis,Chinese hare,https://en.wikipedia.org/wiki/Chinese_hare,,,,,,Least Concern,677,https://upload.wikimedia.org/wikipedia/commons/7/71/Lepus_sinensis_Hardwicke.jpg,https://commons.wikimedia.org/wiki/File%3ALepus_sinensis_Hardwicke.jpg,Public domain,"<bdi><a href=""https://en.wikipedia.org/wiki/en:Thomas_Hardwicke"" class=""extiw"" title=""w:en:Thomas Hardwicke""><span title=""British General and naturalist (1755-1835)"">Thomas Hardwicke</span></a></bdi> / Public domain"
Q494436,Himalayan Goral,Naemorhedus goral,Himalayan goral,https://en.wikipedia.org/wiki/Himalayan_goral,,,194.0,,,Near Threatened,1233,https://upload.wikimedia.org/wikipedia/commons/6/62/Himalayan_Brown_Goral_Male_and_Female_pangolakha_Wildlife_Sanctuary_East_Sikkim_India_13.02.2016.jpg,https://commons.wikimedia.org/wiki/File%3AHimalayan_Brown_Goral_Male_and_Female_pangolakha_Wildlife_Sanctuary_East_Sikkim_India_13.02.2016.jpg,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/wiki/User:Dibyendu_Ash"" title=""User:Dibyendu Ash"">Dibyendu Ash</a> / CC BY-SA 3.0"
Q854681,Speckled ground squirrel,Spermophilus suslicus,Speckled ground squirrel,https://en.wikipedia.org/wiki/Speckled_ground_squirrel,,,24.0,,,Critically Endangered,391,https://upload.wikimedia.org/wikipedia/commons/4/49/Spermophilus_suslicus_%28G_Lesniewski%29.jpg,https://commons.wikimedia.org/wiki/File%3ASpermophilus_suslicus_%28G_Lesniewski%29.jpg,CC BY-SA 3.0,Grzegorz Leśniewski / CC BY-SA 3.0
Q332414,Melogale moschata,Melogale moschata,Chinese ferret-badger,https://en.wikipedia.org/wiki/Chinese_ferret-badger,,,,,,Least Concern,1449,https://upload.wikimedia.org/wikipedia/commons/b/b0/Melogale_moschata_%28male%29_Praha_zoo_02.2011_02.jpg,https://commons.wikimedia.org/wiki/File%3AMelogale_moschata_%28male%29_Praha_zoo_02.2011_02.jpg,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/wiki/User:%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%A3%D1%81%D0%B8%D0%BA"" title=""User:Николай Усик"">Николай Усик</a> / <a rel=""nofollow"" class=""external free"" href=""http://paradoxusik.livejournal.com/"">http://paradoxusik.livejournal.com/</a> / CC BY-SA 3.0"
Q245305,Equus quagga,Equus quagga,Plains zebra,https://en.wikipedia.org/wiki/Plains_zebra,,,365.25,,,Near Threatened,15989,https://upload.wikimedia.org/wikipedia/commons/4/45/Equus_quagga_burchellii_-_Etosha%2C_2014.jpg,https://commons.wikimedia.org/wiki/File%3AEquus_quagga_burchellii_-_Etosha%2C_2014.jpg,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/wiki/User:Yathin_sk"" title=""User:Yathin sk"">Yathin S Krishnappa</a> / CC BY-SA 3.0"
Q1764280,Nyctimene cephalotes,Nyctimene cephalotes,Pallas's tube-nosed bat,https://en.wikipedia.org/wiki/Pallas's_tube-nosed_bat,,,,,,Least Concern,79,https://upload.wikimedia.org/wikipedia/commons/7/76/Nyctimene_cephalotes_433880504.jpg,https://commons.wikimedia.org/wiki/File%3ANyctimene_cephalotes_433880504.jpg,CC0,"<a rel=""nofollow"" class=""external text"" href=""https://www.inaturalist.org/users/6924064"">James Eaton</a> / CC0"
Q902896,Rupicapra pyrenaica,Rupicapra pyrenaica,Pyrenean chamois,https://en.wikipedia.org/wiki/Pyrenean_chamois,,,,,,Least Concern,1041,https://upload.wikimedia.org/wikipedia/commons/e/e7/Isard_des_pyrenees_bigorre_2003.jpg,https://commons.wikimedia.org/wiki/File%3AIsard_des_pyrenees_bigorre_2003.jpg,CC BY-SA 3.0,Bernard-Boehne / CC BY-SA 3.0
Q769742,Lesser bamboo rat,Cannomys badius,Lesser bamboo rat,https://en.wikipedia.org/wiki/Lesser_bamboo_rat,,,,,,Least Concern,224,https://upload.wikimedia.org/wikipedia/commons/b/b3/Cannomys_badius_Plzen_zoo.jpg,https://commons.wikimedia.org/wiki/File%3ACannomys_badius_Plzen_zoo.jpg,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/wiki/User:%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%A3%D1%81%D0%B8%D0%BA"" title=""User:Николай Усик"">Николай Усик</a> / <a rel=""nofollow"" class=""external free"" href=""http://paradoxusik.livejournal.com/"">http://paradoxusik.livejournal.com/</a> / CC BY-SA 3.0"
Q1914208,Wild water buffalo,Bubalus arnee,Wild water buffalo,https://en.wikipedia.org/wiki/Wild_water_buffalo,,,,,,Endangered,8741,https://upload.wikimedia.org/wikipedia/commons/5/51/Indian_Water_Buffalo_Bubalus_arnee_by_Dr_Raju_Kasambe_IMG_0347_%2811%29_%28cropped%29.jpg,https://commons.wikimedia.org/wiki/File%3AIndian_Water_Buffalo_Bubalus_arnee_by_Dr_Raju_Kasambe_IMG_0347_%2811%29_%28cropped%29.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Dr._Raju_Kasambe"" title=""User:Dr. Raju Kasambe"">Dr. Raju Kasambe</a> / CC BY-SA 4.0"
Q94969241,Leontocebus lagonotus,Leontocebus lagonotus,Red-mantled saddle-back tamarin,https://en.wikipedia.org/wiki/Red-mantled_saddle-back_tamarin,,,,,,Least Concern,115,https://upload.wikimedia.org/wikipedia/commons/8/8e/Saddleback_Tamarin.JPG,https://commons.wikimedia.org/wiki/File%3ASaddleback_Tamarin.JPG,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Ksnordstrand&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Ksnordstrand (page does not exist)"">Ksnordstrand</a> / CC BY-SA 3.0"
Q578083,Lepus oiostolus,Lepus oiostolus,Woolly hare,https://en.wikipedia.org/wiki/Woolly_hare,,,,,,Least Concern,657,https://upload.wikimedia.org/wikipedia/commons/8/81/Lepus_oiostolus_367800985_%28cropped%29.jpg,https://commons.wikimedia.org/wiki/File%3ALepus_oiostolus_367800985_%28cropped%29.jpg,CC0,"<a rel=""nofollow"" class=""external text"" href=""https://www.inaturalist.org/users/6924064"">James Eaton</a> / CC0"
Q194421,Pinheiro's slender opossum,Marmosops pinheiroi,Pinheiro's slender opossum,https://en.wikipedia.org/wiki/Pinheiro's_slender_opossum,,,,,,Least Concern,79,https://upload.wikimedia.org/wikipedia/commons/a/a1/Kangaroo_%28PSF%29.png,https://commons.wikimedia.org/wiki/File%3AKangaroo_%28PSF%29.png,Public domain,"<a href=""https://en.wikipedia.org/wiki/Pearson_Scott_Foresman"" class=""extiw"" title=""en:Pearson Scott Foresman"">Pearson Scott Foresman</a> / Public domain"
Q2047785,Natal Long-fingered Bat,Miniopterus natalensis,Natal long-fingered bat,https://en.wikipedia.org/wiki/Natal_long-fingered_bat,,,,,,Least Concern,83,https://upload.wikimedia.org/wikipedia/commons/0/00/Natal_long-fingered_bats_%28Miniopterus_natalensis%29_in_flight_%2848966808522%29.jpg,https://commons.wikimedia.org/wiki/File%3ANatal_long-fingered_bats_%28Miniopterus_natalensis%29_in_flight_%2848966808522%29.jpg,CC BY 2.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/93242958@N00"">Derek Keats</a> from Johannesburg, South Africa / CC BY 2.0"
Q306551,Panay Cloudrunner,Crateromys heaneyi,Panay cloudrunner,https://en.wikipedia.org/wiki/Panay_cloudrunner,,,,,,Endangered,123,https://upload.wikimedia.org/wikipedia/commons/d/de/Krysa_Heaneyova_1.jpg,https://commons.wikimedia.org/wiki/File%3AKrysa_Heaneyova_1.jpg,CC BY-SA 4.0,Petr Hamerník / CC BY-SA 4.0
Q1769802,Sulawesi Harpy Fruit Bat,Harpyionycteris celebensis,Sulawesi harpy fruit bat,https://en.wikipedia.org/wiki/Sulawesi_harpy_fruit_bat,,,,,,Near Threatened,44,https://upload.wikimedia.org/wikipedia/commons/1/1c/Bat_%28PSF%29.jpg,https://commons.wikimedia.org/wiki/File%3ABat_%28PSF%29.jpg,Public domain,"<a href=""https://en.wikipedia.org/wiki/Pearson_Scott_Foresman"" class=""extiw"" title=""en:Pearson Scott Foresman"">Pearson Scott Foresman</a> / Public domain"
