Title,Album,Era,Lead vocal,Highest chart position,Words in Title,Cover,Names,Adjective,Punctuation,Image
In My Life,Rubber Soul,Beatlemania (1963-1965),John,100+,3,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/5/5b/Rubber_Soul.png
Matchbox,Single,Beatlemania (1963-1965),Ringo,17,1,1​,0,0,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
Michelle,Rubber Soul,Beatlemania (1963-1965),Paul,100+,1,0,1​,0,0,https://upload.wikimedia.org/wikipedia/en/5/5b/Rubber_Soul.png
No Reply,Beatles For Sale,Beatlemania (1963-1965),John,100+,2,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/4/40/Beatlesforsale.jpg
Roll Over Beethoven,With The Beatles,Beatlemania (1963-1965),George,68,3,1​,1​,0,0,https://upload.wikimedia.org/wikipedia/en/5/52/With_the_Beatles.png
Run for Your Life,Rubber Soul,Beatlemania (1963-1965),John,100+,4,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/5/5b/Rubber_Soul.png
She Loves You,Single,Beatlemania (1963-1965),"John, Paul",1,3,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
Sie Liebt Dich,Single,Beatlemania (1963-1965),"John, Paul",97,3,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
Tell Me What You See,Help!,Beatlemania (1963-1965),"John, Paul",100+,5,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/d/d7/The_Beatles_-_Help%21.png
Tell Me Why,A Hard Day's Night,Beatlemania (1963-1965),John,100+,3,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/e/e6/HardDayUK.jpg
The Night Before,Help!,Beatlemania (1963-1965),Paul,100+,3,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/d/d7/The_Beatles_-_Help%21.png
The Word,Rubber Soul,Beatlemania (1963-1965),"John, Paul, George",100+,2,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/5/5b/Rubber_Soul.png
Ticket to Ride,Help!,Beatlemania (1963-1965),John,1,3,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/d/d7/The_Beatles_-_Help%21.png
Twist and Shout,Please Please Me,Beatlemania (1963-1965),John,2,3,1​,0,0,0,https://upload.wikimedia.org/wikipedia/en/2/2e/Please_Please_Me.png
Wait,Rubber Soul,Beatlemania (1963-1965),"John, Paul",100+,1,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/5/5b/Rubber_Soul.png
We Can Work It Out,Single,Beatlemania (1963-1965),"John, Paul",1,5,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
When I Get Home,A Hard Day's Night,Beatlemania (1963-1965),John,100+,4,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/e/e6/HardDayUK.jpg
Ask Me Why,Please Please Me,Early (<=1962),John,100+,3,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/2/2e/Please_Please_Me.png
Love Me Do,Please Please Me,Early (<=1962),"John, Paul",1,3,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/2/2e/Please_Please_Me.png
Please Please Me,Please Please Me,Early (<=1962),John,3,3,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/2/2e/Please_Please_Me.png
Because,Abbey Road,Late Beatles (1968-1970),"John, Paul, George",100+,1,0,0,0,0,https://en.wikipedia.org/wiki/Abbey_Road#/media/File:The_Beatles_Abbey_Road_album_cover.jpg
Birthday,White Album,Late Beatles (1968-1970),"John, Paul",100+,1,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Blackbird,White Album,Late Beatles (1968-1970),Paul,100+,1,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Come Together,Abbey Road,Late Beatles (1968-1970),John,1,2,0,0,0,0,https://en.wikipedia.org/wiki/Abbey_Road#/media/File:The_Beatles_Abbey_Road_album_cover.jpg
Cry Baby Cry,White Album,Late Beatles (1968-1970),"John, Paul",100+,3,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Dig a Pony,Let It Be,Late Beatles (1968-1970),John,100+,3,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/7/7a/The_Beatles_-_Let_It_Be.png
Dig It,Let It Be,Late Beatles (1968-1970),John,100+,2,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/7/7a/The_Beatles_-_Let_It_Be.png
Get Back,Let It Be,Late Beatles (1968-1970),Paul,1,2,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/7/7a/The_Beatles_-_Let_It_Be.png
Her Majesty,Abbey Road,Late Beatles (1968-1970),Paul,100+,2,0,0,0,0,https://en.wikipedia.org/wiki/Abbey_Road#/media/File:The_Beatles_Abbey_Road_album_cover.jpg
Here Comes the Sun,Abbey Road,Late Beatles (1968-1970),George,3,4,0,0,0,0,https://en.wikipedia.org/wiki/Abbey_Road#/media/File:The_Beatles_Abbey_Road_album_cover.jpg
Hey Jude,Single,Late Beatles (1968-1970),Paul,1,2,0,1​,0,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
I Me Mine,Let It Be,Late Beatles (1968-1970),George,100+,3,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/7/7a/The_Beatles_-_Let_It_Be.png
I Will,White Album,Late Beatles (1968-1970),Paul,100+,2,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Julia,White Album,Late Beatles (1968-1970),John,100+,1,0,1​,0,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Let It Be,Let It Be,Late Beatles (1968-1970),Paul,1,3,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/7/7a/The_Beatles_-_Let_It_Be.png
One After 909,Let It Be,Late Beatles (1968-1970),"John, Paul",100+,3,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/7/7a/The_Beatles_-_Let_It_Be.png
Revolution,Single,Late Beatles (1968-1970),John,12,1,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
Revolution 1,White Album,Late Beatles (1968-1970),John,100+,2,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Sun King,Abbey Road,Late Beatles (1968-1970),John,100+,2,0,0,0,0,https://en.wikipedia.org/wiki/Abbey_Road#/media/File:The_Beatles_Abbey_Road_album_cover.jpg
The Ballad of John and Yoko,Single,Late Beatles (1968-1970),John,8,6,0,1​,0,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
The Continuing Story of Bungalow Bill,White Album,Late Beatles (1968-1970),John,100+,6,0,1​,0,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
The End,Abbey Road,Late Beatles (1968-1970),Paul,100+,2,0,0,0,0,https://en.wikipedia.org/wiki/Abbey_Road#/media/File:The_Beatles_Abbey_Road_album_cover.jpg
All Together Now,Yellow Submarine,Studio (1966-1967),"John, Paul",100+,3,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/a/ac/TheBeatles-YellowSubmarinealbumcover.jpg
And Your Bird Can Sing,Revolver,Studio (1966-1967),John,100+,5,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/e/ec/Revolver_%28album_cover%29.jpg
Doctor Robert,Revolver,Studio (1966-1967),John,100+,2,0,1​,0,0,https://upload.wikimedia.org/wikipedia/en/e/ec/Revolver_%28album_cover%29.jpg
Eleanor Rigby,Revolver,Studio (1966-1967),Paul,11,2,0,1​,0,0,https://upload.wikimedia.org/wikipedia/en/e/ec/Revolver_%28album_cover%29.jpg
Fixing a Hole,Sgt Pepper's Lonely Hearts Club Band,Studio (1966-1967),Paul,100+,3,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/5/57/Sgt._Pepper%27s_Lonely_Hearts_Club_Band_album_art.jpg
Flying,Magical Mystery Tour,Studio (1966-1967),N/A,100+,1,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/e/e8/MagicalMysteryTourDoubleEPcover.jpg
For No One,Revolver,Studio (1966-1967),Paul,100+,3,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/e/ec/Revolver_%28album_cover%29.jpg
Got to Get You into My Life,Revolver,Studio (1966-1967),Paul,7,7,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/e/ec/Revolver_%28album_cover%29.jpg
I Am the Walrus,Magical Mystery Tour,Studio (1966-1967),John,56,4,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/e/e8/MagicalMysteryTourDoubleEPcover.jpg
I Want to Tell You,Revolver,Studio (1966-1967),George,100+,5,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/e/ec/Revolver_%28album_cover%29.jpg
Love You To,Revolver,Studio (1966-1967),George,100+,3,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/e/ec/Revolver_%28album_cover%29.jpg
Lucy in the Sky with Diamonds,Sgt Pepper's Lonely Hearts Club Band,Studio (1966-1967),John,100+,6,0,1​,0,0,https://upload.wikimedia.org/wikipedia/commons/5/57/Sgt._Pepper%27s_Lonely_Hearts_Club_Band_album_art.jpg
March of the Meanies,Yellow Submarine,Studio (1966-1967),N/A,100+,4,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/a/ac/TheBeatles-YellowSubmarinealbumcover.jpg
Pepperland,Yellow Submarine,Studio (1966-1967),N/A,100+,1,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/a/ac/TheBeatles-YellowSubmarinealbumcover.jpg
Rain,Single,Studio (1966-1967),John,23,1,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
Sea of Holes,Yellow Submarine,Studio (1966-1967),N/A,100+,3,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/a/ac/TheBeatles-YellowSubmarinealbumcover.jpg
Sea of Time,Yellow Submarine,Studio (1966-1967),N/A,100+,3,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/a/ac/TheBeatles-YellowSubmarinealbumcover.jpg
She Said She Said,Revolver,Studio (1966-1967),John,100+,4,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/e/ec/Revolver_%28album_cover%29.jpg
Taxman,Revolver,Studio (1966-1967),George,100+,1,0,0,0,0,https://upload.wikimedia.org/wikipedia/en/e/ec/Revolver_%28album_cover%29.jpg
Within You Without You,Sgt Pepper's Lonely Hearts Club Band,Studio (1966-1967),George,100+,4,0,0,0,0,https://upload.wikimedia.org/wikipedia/commons/5/57/Sgt._Pepper%27s_Lonely_Hearts_Club_Band_album_art.jpg
A Taste of Honey,Please Please Me,Beatlemania (1963-1965),Paul,100+,4,1​,0,0,0,https://upload.wikimedia.org/wikipedia/en/2/2e/Please_Please_Me.png
I'm Down,Single,Beatlemania (1963-1965),Paul,100+,2,0,0,1​,1​,https://upload.wikimedia.org/wikipedia/commons/5/53/Past_Masters.png
I'm Happy Just to Dance with You,A Hard Day's Night,Beatlemania (1963-1965),George,95,7,0,0,1​,1​,https://upload.wikimedia.org/wikipedia/en/e/e6/HardDayUK.jpg
It Won't Be Long,With The Beatles,Beatlemania (1963-1965),John,100+,4,0,0,1​,1​,https://upload.wikimedia.org/wikipedia/en/5/52/With_the_Beatles.png
Norwegian Wood (This Bird Has Flown),Rubber Soul,Beatlemania (1963-1965),John,100+,6,0,0,1​,1​,https://upload.wikimedia.org/wikipedia/en/5/5b/Rubber_Soul.png
