wikidata_id,scientific_name,wikipedia_title,source_url,mass_kg,lifespan_yr,gestation_days,litter_size,population_grp_size,max_speed_mph,hibernation_b,migration_b,continent,conservation_status,pageviews_30d,sound_url,image_url,image_file_page,image_license,image_attribution
Q210282,Phocoena spinipinnis,Burmeister's porpoise,https://en.wikipedia.org/wiki/Burmeister's_porpoise,60,,,0.97,,,0,,South America,Near Threatened,722,,https://upload.wikimedia.org/wikipedia/commons/f/fc/Burmeister%27s_porpoise_size.svg,https://commons.wikimedia.org/wiki/File%3ABurmeister%27s_porpoise_size.svg,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/wiki/User:Chris_huh"" title=""User:Chris huh"">Chris_huh</a> / CC BY-SA 3.0"
Q585476,Rhinolophus hipposideros,Lesser horseshoe bat,https://en.wikipedia.org/wiki/Lesser_horseshoe_bat,0.005,21,75.5,1,13,,1,0,,Least Concern,719,,https://upload.wikimedia.org/wikipedia/commons/6/6b/Bat%2820070605%29.jpg,https://commons.wikimedia.org/wiki/File%3ABat%2820070605%29.jpg,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Lylambda&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Lylambda (page does not exist)"">Lylambda (lylambda@gmail.com)</a> / CC BY-SA 3.0"
Q756194,Otolemur crassicaudatus,Brown greater galago,https://en.wikipedia.org/wiki/Brown_greater_galago,1.2,18.8,131,1.14,,,0,0,Africa,Least Concern,716,,https://upload.wikimedia.org/wikipedia/commons/0/04/Thick-tailed_Bushbaby_%28Otolemur_crassicaudatus%29_%2817322632725%29.jpg,https://commons.wikimedia.org/wiki/File%3AThick-tailed_Bushbaby_%28Otolemur_crassicaudatus%29_%2817322632725%29.jpg,CC BY-SA 2.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/65695019@N07"">Bernard DUPONT</a> from FRANCE / CC BY-SA 2.0"
Q853358,Nanger soemmerringii,Soemmerring's gazelle,https://en.wikipedia.org/wiki/Soemmerring's_gazelle,41.6,15.5,192.5,1,,,0,,Africa,Vulnerable,715,,https://upload.wikimedia.org/wikipedia/commons/9/99/Parc_national_de_Yangudi_Rassa-Gazelle_de_Soemmerring_%282%29.jpg,https://commons.wikimedia.org/wiki/File%3AParc_national_de_Yangudi_Rassa-Gazelle_de_Soemmerring_%282%29.jpg,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/wiki/User:Ji-Elle"" title=""User:Ji-Elle"">Ji-Elle</a> / CC BY-SA 3.0"
Q747125,Ptilocercus lowii,Pen-tailed treeshrew,https://en.wikipedia.org/wiki/Pen-tailed_treeshrew,0.043,2.7,,,,,0,0,Asia,Least Concern,706,,https://upload.wikimedia.org/wikipedia/commons/d/de/Ptilocercus_lowii.jpg,https://commons.wikimedia.org/wiki/File%3APtilocercus_lowii.jpg,Public domain,Joseph Wolf (1820 – 1899) / Public domain
Q151910,Eulemur coronatus,Crowned lemur,https://en.wikipedia.org/wiki/Crowned_lemur,1.7,18.4,124,1.53,,,0,0,Africa,Endangered,701,,https://upload.wikimedia.org/wikipedia/commons/5/54/Crowned_lemur_%28Eulemur_coronatus%29_male.jpg,https://commons.wikimedia.org/wiki/File%3ACrowned_lemur_%28Eulemur_coronatus%29_male.jpg,CC BY-SA 4.0,"<bdi><a href=""https://www.wikidata.org/wiki/Q54800218"" class=""extiw"" title=""d:Q54800218""><span title=""Scottish wildlife photographer"">Charles J. Sharp</span></a></bdi> / CC BY-SA 4.0"
Q754050,Dasyuroides byrnei,Kowari,https://en.wikipedia.org/wiki/Kowari,0.109,7,32.5,5.14,,,0,0,Oceania,Vulnerable,698,,https://upload.wikimedia.org/wikipedia/commons/8/81/Dasycercus_byrnei.JPG,https://commons.wikimedia.org/wiki/File%3ADasycercus_byrnei.JPG,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Elias_Neideck&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Elias Neideck (page does not exist)"">Elias Neideck</a> / CC BY-SA 3.0"
Q922138,Madoqua saltiana,Salt's dik-dik,https://en.wikipedia.org/wiki/Salt's_dik-dik,3.4,14,,1,,,0,0,Africa,Least Concern,696,,https://upload.wikimedia.org/wikipedia/commons/8/87/Salts_dik-dik.jpg,https://commons.wikimedia.org/wiki/File%3ASalts_dik-dik.jpg,CC0,"<table border=""3""><tbody><tr><td>
<table border=""0"" cellpadding=""2"" style=""background:#dfd3c7;""><tbody><tr><td>
<p>This image was produced by me, David Castor (<a href=""//commons.wikimedia.org/wiki/User:Dcastor"" title=""User:Dcastor"">user:dcastor</a>). The pictures I submit to the Wikipedia Project are released to the public domain. This gives you the right to use them in any way you like, without any kind of notification. This said, I would still appreciate to be mentioned as the originator whenever you think it complies well with your use of the picture. A <a rel=""nofollow"" class=""external text"" href=""mailto:epost@pastorcastor.se"">message</a> to me  about how it has been used would also be welcome. You are obviously not required to respond to these wishes of mine, just in a friendly manner encouraged to. (All my photos are placed in <a href=""//commons.wikimedia.org/wiki/Category:Images_by_David_Castor"" title=""Category:Images by David Castor"">Category:Images by David Castor</a> or a subcategory thereof.)
</p>
</td><td>
<p><span typeof=""mw:File""><a href=""//commons.wikimedia.org/wiki/File:David_Castor_Wikimedia.jpg"" class=""mw-file-description""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/David_Castor_Wikimedia.jpg/250px-David_Castor_Wikimedia.jpg"" decoding=""async"" width=""170"" height=""128"" class=""mw-file-element"" srcset=""https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/David_Castor_Wikimedia.jpg/330px-David_Castor_Wikimedia.jpg 1.5x, https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/David_Castor_Wikimedia.jpg/500px-David_Castor_Wikimedia.jpg 2x"" data-file-width=""3081"" data-file-height=""2325""></a></span>
</p>
</td></tr></tbody></table>
</td></tr></tbody></table> / CC0"
Q209132,Dendrolagus bennettianus,Bennett's tree-kangaroo,https://en.wikipedia.org/wiki/Bennett's_tree-kangaroo,10.5,20,,1,,,0,0,Oceania,Near Threatened,693,,https://upload.wikimedia.org/wikipedia/commons/3/32/Bennett%27s_Tree-kangaroo.jpg,https://commons.wikimedia.org/wiki/File%3ABennett%27s_Tree-kangaroo.jpg,Public domain,Public domain
Q581661,Tupaia glis,Common treeshrew,https://en.wikipedia.org/wiki/Common_treeshrew,0.132,12.4,46,2.22,,,0,0,Asia,Least Concern,684,,https://upload.wikimedia.org/wikipedia/commons/7/7f/Common_treeshrew_in_Latpanchar_January_2024_by_Tisha_Mukherjee_01.jpg,https://commons.wikimedia.org/wiki/File%3ACommon_treeshrew_in_Latpanchar_January_2024_by_Tisha_Mukherjee_01.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Tisha_Mukherjee"" title=""User:Tisha Mukherjee"">Tisha Mukherjee</a> / CC BY-SA 4.0"
Q638186,Poelagus marjorita,Bunyoro rabbit,https://en.wikipedia.org/wiki/Bunyoro_rabbit,2.5,,35,1.19,,,0,0,Africa,Least Concern,683,,https://upload.wikimedia.org/wikipedia/commons/f/f3/Poelagus_marjorita_453290592_%28cropped%29.jpg,https://commons.wikimedia.org/wiki/File%3APoelagus_marjorita_453290592_%28cropped%29.jpg,CC0,"<a rel=""nofollow"" class=""external text"" href=""https://www.inaturalist.org/users/2133878"">Philip Precey</a> / CC0"
Q1765033,Funambulus pennantii,Northern palm squirrel,https://en.wikipedia.org/wiki/Northern_palm_squirrel,0.102,,41.8,2.95,,,0,0,,Least Concern,680,https://upload.wikimedia.org/wikipedia/commons/c/c5/Fivestripedsquirrel.ogg,https://upload.wikimedia.org/wikipedia/commons/2/23/Five-striped_palm_squirrel_%28Funambulus_pennantii%29.jpg,https://commons.wikimedia.org/wiki/File%3AFive-striped_palm_squirrel_%28Funambulus_pennantii%29.jpg,CC BY-SA 4.0,"<bdi><a href=""https://www.wikidata.org/wiki/Q54800218"" class=""extiw"" title=""d:Q54800218""><span title=""Scottish wildlife photographer"">Charles J. Sharp</span></a></bdi> / CC BY-SA 4.0"
Q717929,Setifer setosus,Greater hedgehog tenrec,https://en.wikipedia.org/wiki/Greater_hedgehog_tenrec,0.263,10.5,57.6,3.24,1,,1,0,Africa,Least Concern,680,,https://upload.wikimedia.org/wikipedia/commons/2/28/Greater_Hedgehog_Tenrec_%28Setifer_setosus%29_%289614561811%29.jpg,https://commons.wikimedia.org/wiki/File%3AGreater_Hedgehog_Tenrec_%28Setifer_setosus%29_%289614561811%29.jpg,CC BY-SA 2.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/65695019@N07"">Bernard DUPONT</a> from FRANCE / CC BY-SA 2.0"
Q244174,Zaedyus pichiy,Pichi,https://en.wikipedia.org/wiki/Pichi,1.4,9,61.3,2,,,1,,South America,Near Threatened,674,,https://upload.wikimedia.org/wikipedia/commons/f/f1/Zaedyus_pichiy_-_Museo_Civico_di_Storia_Naturale_Giacomo_Doria_-_Genoa%2C_Italy_-_DSC03056.JPG,https://commons.wikimedia.org/wiki/File%3AZaedyus_pichiy_-_Museo_Civico_di_Storia_Naturale_Giacomo_Doria_-_Genoa%2C_Italy_-_DSC03056.JPG,CC0,"<a href=""//commons.wikimedia.org/wiki/User:Daderot"" title=""User:Daderot"">Daderot</a> / CC0"
Q775442,Leontopithecus chrysomelas,Golden-headed lion tamarin,https://en.wikipedia.org/wiki/Golden-headed_lion_tamarin,0.573,,,2.04,,,0,0,South America,Endangered,673,,https://upload.wikimedia.org/wikipedia/commons/c/c2/Golden-headed_Lion_Tamarin_095.jpg,https://commons.wikimedia.org/wiki/File%3AGolden-headed_Lion_Tamarin_095.jpg,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/wiki/User:Ltshears"" title=""User:Ltshears"">Ltshears</a> / CC BY-SA 3.0"
Q194472,Monodelphis domestica,Gray short-tailed opossum,https://en.wikipedia.org/wiki/Gray_short-tailed_opossum,0.093,6,14.6,7.29,,,0,0,South America,Least Concern,671,,https://upload.wikimedia.org/wikipedia/commons/b/b5/Monodelphis_domestica.jpg,https://commons.wikimedia.org/wiki/File%3AMonodelphis_domestica.jpg,CC BY-SA 2.5,"The original uploader was <a href=""https://en.wikipedia.org/wiki/User:Dawson"" class=""extiw"" title=""wikipedia:User:Dawson"">Dawson</a> at <a href=""https://en.wikipedia.org/wiki/"" class=""extiw"" title=""wikipedia:"">English Wikipedia</a>. / CC BY-SA 2.5"
Q221342,Axis kuhlii,Bawean deer,https://en.wikipedia.org/wiki/Bawean_deer,55,,227.5,1.22,,,0,0,Asia,Critically Endangered,670,,https://upload.wikimedia.org/wikipedia/commons/c/c8/Adult_male_Bawean_deer_Axis_kuhlii.JPG,https://commons.wikimedia.org/wiki/File%3AAdult_male_Bawean_deer_Axis_kuhlii.JPG,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/wiki/User:Midori"" title=""User:Midori"">Midori</a> / CC BY-SA 3.0"
Q751965,Lagenodelphis hosei,Fraser's dolphin,https://en.wikipedia.org/wiki/Fraser's_dolphin,164,,,1,40,,0,0,,Least Concern,670,,https://upload.wikimedia.org/wikipedia/commons/2/2b/Frazer%C2%B4s_dolphin_group.jpg,https://commons.wikimedia.org/wiki/File%3AFrazer%C2%B4s_dolphin_group.jpg,Public domain,Public domain
Q194238,Didelphis aurita,Big-eared opossum,https://en.wikipedia.org/wiki/Big-eared_opossum,1.1,,,6.11,,,0,0,South America,Least Concern,666,,https://upload.wikimedia.org/wikipedia/commons/b/b1/Didelphis_aurita_photo-Christian_Roger_Dockhorn.JPG,https://commons.wikimedia.org/wiki/File%3ADidelphis_aurita_photo-Christian_Roger_Dockhorn.JPG,Public domain,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Christian_Roger_Dockhorn&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Christian Roger Dockhorn (page does not exist)"">Christian Roger Dockhorn</a> / Public domain"
Q647798,Kerivoula picta,Painted bat,https://en.wikipedia.org/wiki/Painted_bat,0.004,,,1,,,,,Asia,Near Threatened,666,,https://upload.wikimedia.org/wikipedia/commons/d/d9/Kerivoula_picta_1.jpg,https://commons.wikimedia.org/wiki/File%3AKerivoula_picta_1.jpg,CC BY-SA 4.0,Abu Hamas / CC BY-SA 4.0
Q1140811,Ochotona hyperborea,Northern pika,https://en.wikipedia.org/wiki/Northern_pika,0.12,,28,3.02,,,0,0,,Least Concern,664,,https://upload.wikimedia.org/wikipedia/commons/f/f6/%D0%9D%D0%B0%D0%B1%D0%BB%D1%8E%D0%B4%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F_%D0%BF%D0%BE%D0%B7%D0%B0_%D0%BF%D0%B8%D1%89%D1%83%D1%85%D0%B8.jpg,https://commons.wikimedia.org/wiki/File%3A%D0%9D%D0%B0%D0%B1%D0%BB%D1%8E%D0%B4%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F_%D0%BF%D0%BE%D0%B7%D0%B0_%D0%BF%D0%B8%D1%89%D1%83%D1%85%D0%B8.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:%D0%AE%D1%80%D0%B8%D0%B9_%D0%95%D0%BC%D0%B5%D0%BB%D1%8C%D1%8F%D0%BD%D0%BE%D0%B2&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Юрий Емельянов (page does not exist)"">Юрий Емельянов</a> / CC BY-SA 4.0"
